"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"1:56:38,0803744","parent.exe","8608","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\Image File Execution Options","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"1:56:38,0803927","parent.exe","8608","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\child1.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"1:56:38,0804043","parent.exe","8608","RegOpenKey","HKLM\Software\Microsoft\Wow64\x86\xtajit","NAME NOT FOUND","Desired Access: Query Value"
"1:56:38,0805190","parent.exe","8608","CreateFile","C:\Users\Xiaomi\Desktop\ll1\build\child1.exe","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"1:56:38,0805630","parent.exe","8608","CreateFileMapping","C:\Users\Xiaomi\Desktop\ll1\build\child1.exe","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE"
"1:56:38,0805819","parent.exe","8608","CreateFileMapping","C:\Users\Xiaomi\Desktop\ll1\build\child1.exe","SUCCESS","SyncType: SyncTypeOther"
"1:56:38,0806124","parent.exe","8608","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\child1.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"1:56:38,0806347","parent.exe","8608","QuerySecurityFile","C:\Users\Xiaomi\Desktop\ll1\build\child1.exe","SUCCESS","Information: Label"
"1:56:38,0806815","parent.exe","8608","QueryNameInformationFile","C:\Users\Xiaomi\Desktop\ll1\build\child1.exe","SUCCESS","Name: \Users\Xiaomi\Desktop\ll1\build\child1.exe"
"1:56:38,0837106","parent.exe","8608","RegOpenKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-615703858-2741458157-3452826841-1001","SUCCESS","Desired Access: All Access"
"1:56:38,0837259","parent.exe","8608","RegQueryValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-615703858-2741458157-3452826841-1001\\Device\HarddiskVolume3\Users\Xiaomi\Desktop\ll1\build\child1.exe","NAME NOT FOUND","Length: 40"
"1:56:38,0837544","parent.exe","8608","RegCloseKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-615703858-2741458157-3452826841-1001","SUCCESS",""
"1:56:38,0837699","parent.exe","8608","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\BAM","REPARSE","Desired Access: Query Value"
"1:56:38,0837851","parent.exe","8608","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\BAM","NAME NOT FOUND","Desired Access: Query Value"
"1:56:38,0838357","parent.exe","8608","Process Create","C:\Users\Xiaomi\Desktop\ll1\build\child1.exe","SUCCESS","PID: 18328, Command line: child1.exe ""C:\Users\Xiaomi\Desktop\ll1\first.txt"""
"1:56:38,0838898","parent.exe","8608","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\AppCertDlls","REPARSE","Desired Access: Query Value"
"1:56:38,0839026","parent.exe","8608","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\AppCertDlls","NAME NOT FOUND","Desired Access: Query Value"
"1:56:38,0839257","parent.exe","8608","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"1:56:38,0839379","parent.exe","8608","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"1:56:38,0839527","parent.exe","8608","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"1:56:38,0839764","parent.exe","8608","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"1:56:38,0839976","parent.exe","8608","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\AuthenticodeEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"1:56:38,0840140","parent.exe","8608","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"1:56:38,0840269","parent.exe","8608","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"1:56:38,0840748","parent.exe","8608","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","Desired Access: Query Value"
"1:56:38,0840876","parent.exe","8608","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Cache","SUCCESS","Type: REG_SZ, Length: 116, Data: C:\Users\Xiaomi\AppData\Local\Microsoft\Windows\INetCache"
"1:56:38,0841003","parent.exe","8608","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS",""
"1:56:38,0841114","parent.exe","8608","RegOpenKey","HKCU\Software\Microsoft\Windows NT\CurrentVersion","SUCCESS","Desired Access: Enumerate Sub Keys"
"1:56:38,0841221","parent.exe","8608","RegOpenKey","HKCU\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers","SUCCESS","Desired Access: Query Value"
"1:56:38,0841339","parent.exe","8608","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers\C:\Users\Xiaomi\Desktop\ll1\build\child1.exe","NAME NOT FOUND","Length: 16"
"1:56:38,0841417","parent.exe","8608","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Layers","SUCCESS",""
"1:56:38,0841632","parent.exe","8608","QuerySecurityFile","C:\Users\Xiaomi\Desktop\ll1\build\child1.exe","SUCCESS","Information: Owner, Group, DACL, SACL, Label, Attribute, Process Trust Label, 0x100"
"1:56:38,0842861","parent.exe","8608","CreateFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"1:56:38,0843358","parent.exe","8608","QueryBasicInformationFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS","CreationTime: 12.11.2024 22:20:25, LastAccessTime: 28.12.2024 1:56:00, LastWriteTime: 12.11.2024 22:20:25, ChangeTime: 13.11.2024 0:30:43, FileAttributes: A"
"1:56:38,0843438","parent.exe","8608","CloseFile","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"1:56:38,0843716","parent.exe","8608","QueryBasicInformationFile","C:\Users\Xiaomi\Desktop\ll1\build\child1.exe","SUCCESS","CreationTime: 04.10.2024 10:55:39, LastAccessTime: 28.12.2024 1:53:36, LastWriteTime: 04.10.2024 10:58:40, ChangeTime: 04.10.2024 10:58:40, FileAttributes: A"
"1:56:38,0844203","parent.exe","8608","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\SideBySide","SUCCESS","Desired Access: Read"
"1:56:38,0844341","parent.exe","8608","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide\PreferExternalManifest","NAME NOT FOUND","Length: 20"
"1:56:38,0844445","parent.exe","8608","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\SideBySide","SUCCESS",""
"1:56:38,0844729","parent.exe","8608","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"1:56:38,0844844","parent.exe","8608","RegOpenKey","HKCU\Control Panel\Desktop\MuiCached\MachineLanguageConfiguration","NAME NOT FOUND","Desired Access: Read"
"1:56:38,0845084","parent.exe","8608","RegCloseKey","HKCU","SUCCESS",""
"1:56:38,0845189","parent.exe","8608","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read"
"1:56:38,0845326","parent.exe","8608","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"1:56:38,0845423","parent.exe","8608","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"1:56:38,0845528","parent.exe","8608","RegOpenKey","HKCU\Control Panel\Desktop\LanguageConfiguration","NAME NOT FOUND","Desired Access: Read"
"1:56:38,0845615","parent.exe","8608","RegCloseKey","HKCU","SUCCESS",""
"1:56:38,0845699","parent.exe","8608","RegOpenKey","HKLM\Software\Policies\Microsoft\MUI\Settings","NAME NOT FOUND","Desired Access: Read"
"1:56:38,0845796","parent.exe","8608","RegOpenKey","HKCU","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"1:56:38,0845889","parent.exe","8608","RegOpenKey","HKCU\Software\Policies\Microsoft\Control Panel\Desktop","NAME NOT FOUND","Desired Access: Read"
"1:56:38,0845967","parent.exe","8608","RegOpenKey","HKCU\Control Panel\Desktop","SUCCESS","Desired Access: Read"
"1:56:38,0846052","parent.exe","8608","RegQueryValue","HKCU\Control Panel\Desktop\PreferredUILanguages","NAME NOT FOUND","Length: 12"
"1:56:38,0846165","parent.exe","8608","RegCloseKey","HKCU\Control Panel\Desktop","SUCCESS",""
